# TAMPERED toy-field ECDSA verify trace (Curve(bits=8, p=223, b=5, n=229, h=1), bucket=middle, section=ladder2, op_idx=2, step=y3).
# Correct answer: VERDICT TAMPERED, ladder2 op 2 line 'y3'.
# local_consistency_report = [('ladder2', 2, 'y3')] (exactly one line). Final v==r comparison: False (expected False; not itself a tamper-target line).

L0001: Toy ECDSA verify, 8-bit field p=223, subgroup order n=229, curve y^2 = x^3 + 5 (a=0), G=(35,8)
L0002: Given: Q=(145,144), signature (r=168, s=178), message hash z=29 (hash-to-scalar stubbed, z given directly)
L0003: --- header: w, u1, u2 ---
L0004:   [inverse-check] w = 220
L0005:   [multiplication] u1_raw = 6380
L0006:   [reduction] u1 = 197
L0007:   [multiplication] u2_raw = 36960
L0008:   [reduction] u2 = 91
L0009: --- ladder 1: u1 * G ---
L0010:   op 0 [DOUBLE] x1=35 y1=8
L0011:     [multiplication] x1sq_raw = 1225
L0012:     [reduction] x1sq = 110
L0013:     [multiplication] numerator_raw = 330
L0014:     [reduction] numerator = 107
L0015:     [addition] denominator = 16
L0016:     [inverse-check] inv = 14
L0017:     [multiplication] lam_raw = 1498
L0018:     [reduction] lam = 160
L0019:     [multiplication] lamsq_raw = 25600
L0020:     [reduction] lamsq = 178
L0021:     [addition] two_x1 = 70
L0022:     [addition] x3 = 108
L0023:     [addition] diff = 150
L0024:     [multiplication] t2_raw = 24000
L0025:     [reduction] t2 = 139
L0026:     [addition] y3 = 131
L0027:   op 1 [ADD] x1=108 y1=131 x2=35 y2=8
L0028:     [addition] numerator = 100
L0029:     [addition] denominator = 150
L0030:     [inverse-check] inv = 168
L0031:     [multiplication] lam_raw = 16800
L0032:     [reduction] lam = 75
L0033:     [multiplication] lamsq_raw = 5625
L0034:     [reduction] lamsq = 50
L0035:     [addition] t3 = 165
L0036:     [addition] x3 = 130
L0037:     [addition] diff = 201
L0038:     [multiplication] t2_raw = 15075
L0039:     [reduction] t2 = 134
L0040:     [addition] y3 = 3
L0041:   op 2 [DOUBLE] x1=130 y1=3
L0042:     [multiplication] x1sq_raw = 16900
L0043:     [reduction] x1sq = 175
L0044:     [multiplication] numerator_raw = 525
L0045:     [reduction] numerator = 79
L0046:     [addition] denominator = 6
L0047:     [inverse-check] inv = 186
L0048:     [multiplication] lam_raw = 14694
L0049:     [reduction] lam = 199
L0050:     [multiplication] lamsq_raw = 39601
L0051:     [reduction] lamsq = 130
L0052:     [addition] two_x1 = 37
L0053:     [addition] x3 = 93
L0054:     [addition] diff = 37
L0055:     [multiplication] t2_raw = 7363
L0056:     [reduction] t2 = 4
L0057:     [addition] y3 = 1
L0058:   op 3 [DOUBLE] x1=93 y1=1
L0059:     [multiplication] x1sq_raw = 8649
L0060:     [reduction] x1sq = 175
L0061:     [multiplication] numerator_raw = 525
L0062:     [reduction] numerator = 79
L0063:     [addition] denominator = 2
L0064:     [inverse-check] inv = 112
L0065:     [multiplication] lam_raw = 8848
L0066:     [reduction] lam = 151
L0067:     [multiplication] lamsq_raw = 22801
L0068:     [reduction] lamsq = 55
L0069:     [addition] two_x1 = 186
L0070:     [addition] x3 = 92
L0071:     [addition] diff = 1
L0072:     [multiplication] t2_raw = 151
L0073:     [reduction] t2 = 151
L0074:     [addition] y3 = 150
L0075:   op 4 [DOUBLE] x1=92 y1=150
L0076:     [multiplication] x1sq_raw = 8464
L0077:     [reduction] x1sq = 213
L0078:     [multiplication] numerator_raw = 639
L0079:     [reduction] numerator = 193
L0080:     [addition] denominator = 77
