# GENUINE toy-field ECDSA verify trace (Curve(bits=8, p=223, b=5, n=229, h=1)).
# Correct answer: VERDICT GENUINE. local_consistency_report = [] (0 inconsistent lines).

L0001: Toy ECDSA verify, 8-bit field p=223, subgroup order n=229, curve y^2 = x^3 + 5 (a=0), G=(35,8)
L0002: Given: Q=(109,127), signature (r=92, s=63), message hash z=146 (hash-to-scalar stubbed, z given directly)
L0003: --- header: w, u1, u2 ---
L0004:   [inverse-check] w = 40
L0005:   [multiplication] u1_raw = 5840
L0006:   [reduction] u1 = 115
L0007:   [multiplication] u2_raw = 3680
L0008:   [reduction] u2 = 16
L0009: --- ladder 1: u1 * G ---
L0010:   op 0 [DOUBLE] x1=35 y1=8
L0011:     [multiplication] x1sq_raw = 1225
L0012:     [reduction] x1sq = 110
L0013:     [multiplication] numerator_raw = 330
L0014:     [reduction] numerator = 107
L0015:     [addition] denominator = 16
L0016:     [inverse-check] inv = 14
L0017:     [multiplication] lam_raw = 1498
L0018:     [reduction] lam = 160
L0019:     [multiplication] lamsq_raw = 25600
L0020:     [reduction] lamsq = 178
L0021:     [addition] two_x1 = 70
L0022:     [addition] x3 = 108
L0023:     [addition] diff = 150
L0024:     [multiplication] t2_raw = 24000
L0025:     [reduction] t2 = 139
L0026:     [addition] y3 = 131
L0027:   op 1 [ADD] x1=108 y1=131 x2=35 y2=8
L0028:     [addition] numerator = 100
L0029:     [addition] denominator = 150
L0030:     [inverse-check] inv = 168
L0031:     [multiplication] lam_raw = 16800
L0032:     [reduction] lam = 75
L0033:     [multiplication] lamsq_raw = 5625
L0034:     [reduction] lamsq = 50
L0035:     [addition] t3 = 165
L0036:     [addition] x3 = 130
L0037:     [addition] diff = 201
L0038:     [multiplication] t2_raw = 15075
L0039:     [reduction] t2 = 134
L0040:     [addition] y3 = 3
L0041:   op 2 [DOUBLE] x1=130 y1=3
L0042:     [multiplication] x1sq_raw = 16900
L0043:     [reduction] x1sq = 175
L0044:     [multiplication] numerator_raw = 525
L0045:     [reduction] numerator = 79
